"filename", "language", "Lua", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\Trove.lua", "Lua", 1, 0, 0, 0, 1, 2
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\index.d.ts", "TypeScript", 0, 0, 38, 1, 6, 45
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\init.lua", "Lua", 479, 0, 0, 38, 96, 613
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\Packages\_Index\sleitnick_trove@1.4.0\trove\init.spec.lua", "Lua", 174, 0, 0, 0, 23, 197
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\default.project.json", "JSON", 0, 24, 0, 0, 3, 27
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\Bridge.lua", "Lua", 19, 0, 0, 0, 2, 21
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\ClientBridge.lua", "Lua", 351, 0, 0, 12, 88, 451
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\CreateBridgeTree.lua", "Lua", 45, 0, 0, 0, 13, 58
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\SerdesLayer.lua", "Lua", 173, 0, 0, 9, 51, 233
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\ServerBridge.lua", "Lua", 636, 0, 0, 24, 126, 786
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\BridgeNet\init.lua", "Lua", 141, 0, 0, 9, 39, 189
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Enum\Accuracy.lua", "Lua", 6, 0, 0, 2, 0, 8
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Enum\Detection.lua", "Lua", 4, 0, 0, 3, 1, 8
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Enum\init.lua", "Lua", 84, 0, 0, 15, 17, 116
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Janitor.lua", "Lua", 256, 0, 0, 30, 53, 339
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\OldSignal.lua", "Lua", 89, 0, 0, 3, 18, 110
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\Signal.lua", "Lua", 110, 0, 0, 49, 19, 178
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\VERSION.lua", "Lua", 0, 0, 0, 1, 0, 1
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\ZoneController\CollectiveWorldModel.lua", "Lua", 33, 0, 0, 2, 12, 47
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\ZoneController\Tracker.lua", "Lua", 193, 0, 0, 14, 33, 240
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\ZoneController\init.lua", "Lua", 440, 0, 0, 45, 49, 534
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\ZonePlusReference.lua", "Lua", 25, 0, 0, 4, 4, 33
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\Zone\init.lua", "Lua", 754, 0, 0, 48, 74, 876
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ReplicatedStorage\Libraries\init.meta.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\DataHandler\Template.lua", "Lua", 14, 0, 0, 0, 7, 21
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\DataHandler\init.lua", "Lua", 31, 0, 0, 0, 11, 42
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Libraries\PlayerManager.lua", "Lua", 123, 0, 0, 0, 41, 164
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Libraries\ProfileService.lua", "Lua", 1891, 0, 0, 178, 348, 2417
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Libraries\init.meta.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\PlayerMain.server.lua", "Lua", 33, 0, 0, 0, 14, 47
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Button.lua", "Lua", 100, 0, 0, 3, 16, 119
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Despawn.lua", "Lua", 16, 0, 0, 0, 4, 20
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Door.lua", "Lua", 45, 0, 0, 2, 14, 61
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\DoorUnlockable.lua", "Lua", 20, 0, 0, 0, 4, 24
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Dumbells.lua", "Lua", 70, 0, 0, 0, 12, 82
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\Unlockable.lua", "Lua", 20, 0, 0, 0, 8, 28
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\Components\init.meta.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\MoneyHandler.lua", "Lua", 20, 0, 0, 0, 14, 34
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\MoneyMain.server.lua", "Lua", 54, 0, 0, 1, 20, 75
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\TycoonClass.lua", "Lua", 119, 0, 0, 1, 32, 152
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\TycoonMain.server.lua", "Lua", 26, 0, 0, 2, 9, 37
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\devproduct.server.lua", "Lua", 22, 0, 0, 0, 6, 28
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\gamepasses.lua", "Lua", 7, 0, 0, 0, 0, 7
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\init.meta.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\ServerScriptService\Tycoon\server_cutscene.lua", "Lua", 31, 0, 0, 0, 11, 42
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\CameraShaker\CameraShakeInstance.lua", "Lua", 113, 0, 0, 5, 51, 169
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\CameraShaker\CameraShakePresets.lua", "Lua", 61, 0, 0, 19, 14, 94
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\CameraShaker\init.lua", "Lua", 132, 0, 0, 12, 64, 208
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\CustomAnims.lua", "Lua", 52, 0, 0, 1, 16, 69
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\ActionsDic\init.lua", "Lua", 97, 0, 0, 3, 17, 117
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\CameraDic.lua", "Lua", 37, 0, 0, 2, 9, 48
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\CutsceneMain.client.lua", "Lua", 27, 0, 0, 1, 10, 38
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\Dialogues.lua", "Lua", 32, 0, 0, 5, 4, 41
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\Images.lua", "Lua", 8, 0, 0, 0, 6, 14
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Cutscene\init.lua", "Lua", 89, 0, 0, 1, 25, 115
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\GuiHandler.client.lua", "Lua", 68, 0, 0, 5, 36, 109
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\CryAnimations.lua", "Lua", 29, 0, 0, 0, 9, 38
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\CurrencyData.lua", "Lua", 7, 0, 0, 0, 1, 8
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\Dumbell.client.lua", "Lua", 26, 0, 0, 0, 10, 36
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\MainGui.lua", "Lua", 104, 0, 0, 10, 20, 134
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\PhoneHandler.lua", "Lua", 202, 0, 0, 13, 62, 277
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\ProfileData.lua", "Lua", 10, 0, 0, 0, 3, 13
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\VideosData.lua", "Lua", 63, 0, 0, 0, 2, 65
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\gamepassHandler.lua", "Lua", 17, 0, 0, 0, 3, 20
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\guiAnimation.lua", "Lua", 46, 0, 0, 7, 20, 73
"c:\Users\osube\OneDrive\Desktop\allFolders\rblox.to.rojo\basement\basement\src\StarterGui\Handlers\popupHandler.client.lua", "Lua", 15, 0, 0, 0, 9, 24
"Total", "-", 7890, 36, 38, 580, 1690, 10234